AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;
"0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,EU (fdf) - Fz - K - R - Wi,10.01.2006,EU,9/06,0,""Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Festlegung der Regeln fÌ_r die Beteiligung von Unternehmen, Forschungszentren und Hochschulen an MaÌÙnahmen des Siebten Rahmenprogramms sowie fÌ_r die Verbreitung der Forschungsergebnisse (2007 bis 2013)"",2006";
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,EU (fdf) - AS - G - Wi,10.01.2006,EU,8/06,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Richtlinien 90/385/EWG und 93/42/EWG des Rates sowie der Richtlinie 98/8/EG des EuropÌ_ischen Parlaments und des Rates im Hinblick auf die ÌÏberarbeitung der Richtlinien Ì_ber Medizinprodukte,2006;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),10.01.2006,Fz,7/06,0,HaushaltsfÌ_hrung 2006 Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 11 12 Titel 632 11 - Beteiligung des Bundes an den Leistungen fÌ_r Unterkunft und Heizung -,2006;
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,EU (fdf) - AS - In - U - Wi,10.01.2006,EU,6/06,0,Vorschlag fÌ_r eine Richtlinie des Rates Ì_ber die ÌÏberwachung und Kontrolle der Verbringungen radioaktiver AbfÌ_lle und abgebrannter Brennelemente,2006;
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,EU (fdf) - AS - FS - In - Wi,10.01.2006,EU,5/06,0,Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften: Strategischer Plan zur legalen Zuwanderung,2006;
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,EU (fdf) - In - U - Wi,10.01.2006,EU,4/06,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber AbfÌ_lle,2006;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),09.01.2006,Fz,3/06,0,HaushaltsfÌ_hrung 2005 Weitere Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1710 Titel 681 01 - Erziehungsgeld -,2006;
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,EU (fdf) - A - G,05.01.2006,EU,2/06,0,EntschlieÌÙung des Bundesrates zur dauerhaften Kennzeichnung tierischer Nebenprodukte,2006;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),03.01.2006,Fz,1/06,0,HaushaltsfÌ_hrung 2005 Unterrichtung gemÌ_ÌÙ å¤ 37 Abs. 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1509 Titel 632 51 - KriegsopferfÌ_rsorge und gleichartige Leistungen,2006;
",,,,,,,,,,,,,,,,28.12.2007,,953/07,,""EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 Ì_ber """"Eine neue Dynamik fÌ_r die afrikanische Landwirtschaft - Vorschlag fÌ_r die Entwicklung der Landwirtschaft und fÌ_r Nahrungsmittelsicherheit in Afrika"""""",2007";
,,,,,,,,,,,,,,,,28.12.2007,,952/07,,EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 zu Handel und KlimaÌ_nderung,2007;
",,,,,,,,,,,,,,,,28.12.2007,,951/07,,""EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 zum Thema """"Eine neue EU-Tourismuspolitik: Wege zu mehr Partnerschaft fÌ_r den europÌ_ischen Tourismus"""""",2007";
,,,,,,,,,,,,,,,,28.12.2007,,950/07,,EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 zu gemeinsamen GrundsÌ_tzen fÌ_r den Flexicurity-Ansatz,2007;
,,,,,,,,,,,,,,,,28.12.2007,,949/07,,EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 zur Lage in Georgien,2007;
,,,,,,,,,,,,,,,,28.12.2007,,948/07,,Legislative EntschlieÌÙung des EuropÌ_ischen Parlaments vom 29. November 2007 zu dem Vorschlag fÌ_r einen Beschluss des Rates Ì_ber den Abschluss des Abkommens Ì_ber wissenschaftlich-technische Zusammenarbeit zwischen der EuropÌ_ischen Gemeinschaft und der Arabischen Republik Ìãgypten,2007;
,,,,,,,,,,,,,,,,10.12.2007,,947/07,,EntschlieÌÙung des EuropÌ_ischen Parlaments vom 14. November 2007 zu den Beratungen des Petitionsausschusses in der Sitzungsperiode 2006 und Bericht Ì_ber die Beratungen des Petitionsausschusses in der Sitzungsperiode 2006,2007;
",,,,,,,,,,,,,,,,10.12.2007,,946/07,,""ErklÌ_rung des EuropÌ_ischen Parlaments zur """"Dys""""kriminierung und sozialen Ausgrenzung dysfunktionaler Kinder"",2007";
,,,,,,,,,,,,,,,,21.12.2007,,945/07,,Migrationsbericht 2006,2007;
