AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
,,,,,,,,,,,,,,,,28.11.2013,,783/13,,Gesetz zur Ìãnderung des Gesetzes Ì_ber Finanzhilfen des Bundes zum Ausbau der Tagesbetreuung fÌ_r Kinder und zur Ìãnderung des Kinderbetreuungsfinanzierungsgesetzes,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),27.11.2013,Fz,782/13,0,HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 4 Absatz 2 Satz 6 HG 2013 i.V.m. å¤ 37 Absatz 4 BHO Ì_ber die Einwilligung in eine auÌÙerplanmÌ_ÌÙige VerpflichtungsermÌ_chtigung bei Kapitel 1511 Titel 712 01 - GroÌÙe BaumaÌÙnahme des Robert Koch-Instituts,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),27.11.2013,Fz,781/13,0,HaushaltsfÌ_hrung 2013 ÌÏber- und auÌÙerplanmÌ_ÌÙige Ausgaben und VerpflichtungsermÌ_chtigungen im dritten Vierteljahr des Haushaltsjahres 2013; VierteljÌ_hrliche Mitteilung gemÌ_ÌÙ å¤ 37 Absatz 4 BHO i.V.m. å¤ 4 Absatz 2 HG,2013;;;;;
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf) - AS,27.11.2013,R,780/13,0,Verordnung zur Verwendung eines Formulars fÌ_r die ErklÌ_rung Ì_ber die persÌ¦nlichen und wirtschaftlichen VerhÌ_ltnisse bei Prozess- und Verfahrenskostenhilfe (Prozesskostenhilfeformularverordnung - PKHFV),2013;;;;;;
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf) - AS,27.11.2013,R,779/13,0,Verordnung zur Verwendung von Formularen im Bereich der Beratungshilfe (Beratungshilfeformularverordnung - BerHFV),2013;;;;;;
0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,EU (fdf) - AV - In - R - Vk - Wi,26.11.2013,EU,778/13,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Verordnung (EG) Nr. 515/97 vom 13. MÌ_rz 1997 Ì_ber die gegenseitige Amtshilfe zwischen VerwaltungsbehÌ¦rden der Mitgliedstaaten und die Zusammenarbeit dieser BehÌ¦rden mit der Kommission im Hinblick auf die ordnungsgemÌ_ÌÙe Anwendung der Zoll- und der Agrarregelung,2013;;;;;;
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,EU (fdf) - Fz - Wi,25.11.2013,EU,777/13,0,Vorschlag fÌ_r eine Richtlinie des Rates zur Ìãnderung der Richtlinie 2011/96/EU Ì_ber das gemeinsame Steuersystem der Mutter- und Tochtergesellschaften verschiedener Mitgliedstaaten,2013;;;;;;
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,EU (fdf) - AV,22.11.2013,EU,776/13,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates Ì_ber Informations- und AbsatzfÌ¦rderungsmaÌÙnahmen fÌ_r Agrarerzeugnisse im Binnenmarkt und in DrittlÌ_ndern,2013;;;;;;
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,EU (fdf) - Fz,20.11.2013,EU,775/13,0,Stellungnahme der Kommission vom 15.11.2013 zur ÌÏbersicht Ì_ber die Haushaltsplanung Deutschlands C(2013) 8001 final,2013;;;;;;
"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,EU (fdf) - K,21.11.2013,EU,774/13,0,""Benennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union fÌ_r die technischen Arbeitsgruppen im Rahmen der Offenen Methode der Koordinierung zur Implementierung des strategischen Rahmens fÌ_r die europÌ_ische Zusammenarbeit auf dem Gebiet der allgemeinen und beruflichen Bildung (""""ET 2020"""")"",2013";;;;;;
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),04.12.2013,R,773/13,0,Verfahren vor dem Bundesverfassungsgericht,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),19.11.2013,Fz,772/13,0,HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 37 Absatz 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1112 Titel 681 12 - Arbeitslosengeld II bis zur HÌ¦he von 700.000 T Euro,2013;;;;;;
,,,,,,,,,,,,,,,,20.11.2013,,771/13,,Benennung von Vertretern und Stellvertretern des Bundesrates im Mittelstandsrat der Kreditanstalt fÌ_r Wiederaufbau,2013;;;;;;
"0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,EU (fdf) - AV - In - U,19.11.2013,EU,770/13,0,""Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Anpassung von Rechtsakten, in denen auf das Regelungsverfahren mit Kontrolle Bezug genommen wird, an Artikel 290 und 291 des Vertrags Ì_ber die Arbeitsweise der EuropÌ_ischen Union"",2013";;;;;;
"0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,EU (fdf) - R,19.11.2013,EU,769/13,0,""Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Anpassung von Rechtsakten im Bereich Justiz, in denen auf das Regelungsverfahren mit Kontrolle Bezug genommen wird, an Artikel 290 des Vertrags Ì_ber die Arbeitsweise der EuropÌ_ischen Union"",2013";;;;;;
"0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,EU (fdf) - AS - AV - In - U,19.11.2013,EU,768/13,0,""Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Anpassung von Rechtsakten, in denen auf das Regelungsverfahren mit Kontrolle Bezug genommen wird, an Artikel 290 des Vertrags Ì_ber die Arbeitsweise der EuropÌ_ischen Union"",2013";;;;;;
