AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Fz (fdf) - In - R,06.12.2002,Fz,892/02,0,Verordnung zur elektronischen Übermittlung von Steuererklärungen und sonstigen für das Besteuerungsverfahren erforderlichen Daten (Steuerdaten-Übermittlungsverordnung - StDÜV),2002
,,,,,,,,,,,,,,,,06.12.2002,,891/02,,Entwurf eines Gesetzes zur Erweiterung des Einsatzes der DNA-Analyse bei Straftaten mit sexuellem Hintergrund,2002
,,,,,,,,,,,,,,,,06.12.2002,,890/02,,Entwurf eines ... Gesetzes zur Änderung des Bundesfernstraßengesetzes (... FStrÄndG),2002
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,R (fdf) - In,06.12.2002,R,889/02,0,Entwurf eines Gesetzes zur Änderung des Gesetzes über Ordnungswidrigkeiten,2002
,,,,,,,,,,,,,,,,06.12.2002,,888/02,,"Entwurf eines Gesetzes zur Änderung der §§ 1360, 1360a BGB",2002
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,EU (fdf) - Fz - In - R - Wi,02.12.2002,EU,887/02,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über Wertpapierdienstleistungen und geregelte Märkte und zur Änderung der Richtlinien 85/611/EWG und 93/6/EWG des Rates und der Richtlinie 2000/12/EG des Europäischen Parlaments und des Rates,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),06.12.2002,Fz,885/02,0,Haushaltsführung 2002 Überplanmäßige Ausgabe bei Kapitel 1702 Titel 632 01 - Aufwendungen für Gräber der Opfer von Krieg und Gewaltherrschaft -,2002
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,EU (fdf) - A - U,28.11.2002,EU,884/02,0,Mitteilung der Kommission der Europäischen Gemeinschaften an den Rat und das Europäische Parlament über die Tierschutzvorschriften für landwirtschaftliche Nutztiere in Drittländern und ihre Auswirkungen für die Europäische Union,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),29.11.2002,Fz,883/02,0,"Haushaltsführung 2002 Überplanmäßige Ausgaben bis zur Höhe von 43 Millionen Euro Kapitel 3004 Hochschulen, Wissenschaft und Ausbildungsförderung Titel 632 11 BAföG - Schülerinnen und Schüler Titel 632 12 BAföG - Zuschüsse an Studierende",2002
,,,,,,,,,,,,,,,,29.11.2002,,882/02,,Zwölftes Gesetz zur Änderung des Fünften Buches Sozialgesetzbuch (Zwölftes SGB V-Änderungsgesetz - 12. SGB V-ÄndG),2002
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,EU (fdf) - K,27.11.2002,EU,881/02,0,Arbeitsdokument der Dienststellen der Kommission der Europäischen Gemeinschaften: Förderung des Sprachenlernens und der sprachlichen Vielfalt - Konsultation,2002
,,,,,,,,,,,,,,,,19.11.2002,,880/02,,Stellungnahme der Bundesregierung zu der Entschließung des Bundesrates zur Verbesserung der für BSE-Testlabors geltenden Zulassungsvorschriften,2002
,,,,,,,,,,,,,,,,19.11.2002,,879/02,,Stellungnahme der Bundesregierung zu der Entschließung des Bundesrates zur Änderung des Tierseuchengesetzes und der Maul- und Klauenseuche-Verordnung,2002
,,,,,,,,,,,,,,,,19.11.2002,,878/02,,Stellungnahme der Bundesregierung zur Verordnung über die Tötung von Rindern zur Vorsorge für die menschliche und tierische Gesundheit im Hinblick auf die Bovine Spongiforme Enzephalopathie - BSE-Vorsorgeverordnung -,2002
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Vk (fdf) - Fz,27.11.2002,Vk,877/02,0,Verordnung zum Sitzstaatabkommen zwischen der Regierung der Bundesrepublik Deutschland und der Europäischen Organisation für die Nutzung von meteorologischen Satelliten (EUMETSAT),2002
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,AS (fdf) - FJ - FS - Fz,27.11.2002,AS,876/02,0,"Bericht der Bundesregierung über die gesetzliche Rentenversicherung, insbesondere über die Entwicklung der Einnahmen und Ausgaben, der Schwankungsreserve sowie des jeweils erforderlichen Beitragssatzes in den künftigen 15 Kalenderjahren gemäß § 154 SGB VI (Rentenversicherungsbericht 2002) und Gutachten des Sozialbeirats zum Rentenversicherungsbericht 2002",2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AS (fdf) - Fz,27.11.2002,AS,875/02,0,Verordnung zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung und der Beitragszahlung des Bundes für Kindererziehungszeiten für 2003 (Beitragssatzverordnung 2003 - BSV 2003),2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),27.11.2002,A,874/02,0,Sechste Verordnung zur Änderung der Verordnung über EG-Normen für Obst und Gemüse,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),26.11.2002,Fz,873/02,0,Haushaltsführung 2002 Über- und außerplanmäßige Ausgaben und Verpflichtungsermächtigungen im dritten Vierteljahr des Haushaltjahres 2002,2002
,,,,,,,,,,,,,,,,08.11.2002,,872/02,,Bericht der Bundesregierung zum Beschluss des Bundesrates zum Vorschlag für eine Verordnung des Rates zur Änderung der Verordnung (EG) Nr. 466/2001 der Kommission zur Festsetzung der Höchstgehalte für bestimmte Kontaminanten in Lebensmitteln,2002
0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,EU (fdf) - Fz - In - Wi,21.11.2002,EU,871/02,0,Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates über die Erstellung der jährlichen Stahlstatistiken der Gemeinschaft für die Berichtsjahre 2003 - 2009,2002
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,EU (fdf) - AS - K - Wi,25.11.2002,EU,870/02,0,Mitteilung der Kommission der Europäischen Gemeinschaften: Europäische Benchmarks für die allgemeine und berufliche Bildung - Follow-up der Tagung des Europäischen Rates von Lissabon,2002
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,EU (fdf) - G - In,27.11.2002,EU,869/02,0,"Entwurf eines Programms zur Verbesserung der Zusammenarbeit in der Europäischen Union im Hinblick auf die Prävention und die Begrenzung der Folgen chemischer, biologischer, radiologischer oder nuklearer terroristischer Bedrohungen",2002
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,Fz (fdf) - A - U - Wi - Wo,28.11.2002,Fz,866/02,0,Entwurf eines Gesetzes zum Abbau von Steuervergünstigungen und Ausnahmeregelungen (Steuervergünstigungsabbaugesetz - StVergAbG),2002
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,EU (fdf) - G - Wi,20.11.2002,EU,865/02,0,Vorschlag für eine Verordnung des Rates zur Vermeidung von Handelsumlenkungen bei bestimmten grundlegenden Arzneimitteln in die Europäische Union,2002
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,EU (fdf) - In,18.11.2002,EU,864/02,0,Initiative der Bundesrepublik Deutschland für eine Richtlinie des Rates über die Unterstützung beim Transit im Rahmen von Rückführungsmaßnahmen auf dem Luftwege,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,AS (fdf) - Fz - Wi,22.11.2002,AS,863/02,0,Entwurf eines Gesetzes zur Flexibilisierung des Arbeitsrechts (Flexibilisierungsgesetz - FlexG),2002
,,,,,,,,,,,,,,,,19.11.2002,,862/02,,Bericht der Bundesregierung zu der Entschließung des Bundesrates zum Gesetz zur Fortentwicklung des Unternehmenssteuerrechts (Unternehmenssteuerfortentwicklungsgesetz - UntStFG),2002
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,In (fdf) - AS - Fz,20.11.2002,In,861/02,0,Entwurf eines ... Gesetzes zur Änderung des Asylverfahrensgesetzes,2002
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,R (fdf) - FJ - Fz - In,21.11.2002,R,860/02,0,Entwurf eines Gesetzes zum Schutz vor schweren Wiederholungstaten durch nachträgliche Anordnung der Unterbringung in der Sicherungsverwahrung,2002
,,,,,,,,,,,,,,,,20.11.2002,,859/02,,Entwurf eines ... Gesetzes zur Änderung des Strafgesetzbuches und anderer Gesetze - Widerruf der Straf- und Strafrestaussetzung - (... StrÄndG),2002
,,,,,,,,,,,,,,,,18.11.2002,,858/02,,Wahl des Vorsitzenden des Finanzausschusses,2002
0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,EU (fdf) - G - In - U,13.11.2002,EU,857/02,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über die Qualität der Badegewässer,2002
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Wi (fdf) - AS - Fz - G,15.11.2002,Wi,856/02,0,Jahresgutachten 2002/2003 des Sachverständigenrates zur Begutachtung der gesamtwirtschaftlichen Entwicklung,2002
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,G (fdf) - A,15.11.2002,G,855/02,0,Neunundvierzigste Verordnung zur Änderung der Verordnung über verschreibungspflichtige Arzneimittel,2002
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,U (fdf) - A - Fz - G,15.11.2002,U,854/02,0,Dritte Verordnung zur Änderung der Schadstoff-Höchstmengenverordnung,2002
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,U (fdf) - Wi,14.11.2002,U,852/02,0,Zweite Verordnung zur Änderung der Verordnung über Deponien und Langzeitlager,2002
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,R (fdf) - Fz - In,13.11.2002,R,851/02,0,Entschließung des Bundesrates zur Evaluierung sozialtherapeutischer Maßnahmen für Sexualstraftäter im Strafvollzug,2002
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,R (fdf) - FJ - Fz - In,13.11.2002,R,850/02,0,Entwurf eines Gesetzes zum Schutz der Bevölkerung vor schweren Straftaten,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),18.11.2002,Fz,849/02,0,Bemerkungen des Bundesrechnungshofes 2002 zur Haushalts- und Wirtschaftsführung (einschließlich der Feststellungen zur Jahresrechnung des Bundes 2001),2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),22.11.2002,Fz,847/02,0,Entwurf eines Gesetzes über die Feststellung eines Nachtrags zum Bundeshaushaltsplan für das Haushaltsjahr 2002 (Nachtragshaushaltsgesetz 2002),2002
,,,,,,,,,,,,,,,,11.11.2002,,846/02,,Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für einen Beschluss des Rates über den Abschluss des Europa-Mittelmeer-Abkommens zur Gründung einer Assoziation zwischen der Europäischen Gemeinschaft und ihren Mitgliedstaaten einerseits und der Demokratischen Volksrepublik Algerien andererseits,2002
,,,,,,,,,,,,,,,,11.11.2002,,845/02,,"Entschließung des Europäischen Parlaments zu der Mitteilung der Kommission an den Rat, das Europäische Parlament, den Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen betreffend den Aktionsplan der Kommission für Qualifikation und Mobilität",2002
